one tabletop (octagonal),,,
1,0.24482808,0.101411,0
1,0.10141111,0.244828,0
1,-0.1014111,0.244828,0
1,-0.2448281,0.101411,0
1,-0.2448281,-0.101411,0
1,-0.1014111,-0.244828,0
1,0.10141111,-0.244828,0
1,0.24482808,-0.101411,0
eight star facets (triangles),,,
1,0.24482808,0.101411,0
1,0.10141111,0.244828,0
1,0.25986174,0.259862,-0.08
2,0.10141111,0.244828,0
2,-0.1014111,0.244828,0
2,0.00E+00,0.3675,-0.08
3,-0.1014111,0.244828,0
3,-0.2448281,0.101411,0
3,-2.60E-01,0.259862,-0.08
4,-0.2448281,0.101411,0
4,-0.2448281,-0.101411,0
4,-3.68E-01,0,-0.08
5,-0.2448281,-0.101411,0
5,-0.1014111,-0.244828,0
5,-2.60E-01,-0.259862,-0.08
6,-0.1014111,-0.244828,0
6,0.10141111,-0.244828,0
6,0.00E+00,-0.3675,-0.08
7,0.10141111,-0.244828,0
7,0.24482808,-0.101411,0
7,2.60E-01,-0.259862,-0.08
8,0.24482808,-0.101411,0
8,0.24482808,0.101411,0
8,3.68E-01,0,-0.08
eight crown main facets (kite facets),,,
1,0.24482808,0.101411,0
1,0.3675,0,-0.08
1,4.62E-01,0.191342,-0.16
1,0.25986174,0.259862,-0.08
2,0.10141111,0.244828,0
2,0.25986174,0.259862,-0.08
2,1.91E-01,0.46194,-0.16
2,0,0.3675,-0.08
3,-0.1014111,0.244828,0
3,0,0.3675,-0.08
3,-1.91E-01,0.46194,-0.16
3,-0.2598617,0.259862,-0.08
4,-0.2448281,0.101411,0
4,-0.2598617,0.259862,-0.08
4,-4.62E-01,0.191342,-0.16
4,-0.3675,0,-0.08
5,-0.2448281,-0.101411,0
5,-0.3675,0,-0.08
5,-4.62E-01,-0.191342,-0.16
5,-0.2598617,-0.259862,-0.08
6,-0.1014111,-0.244828,0
6,-0.2598617,-0.259862,-0.08
6,-1.91E-01,-0.46194,-0.16
6,0,-0.3675,-0.08
7,0.10141111,-0.244828,0
7,0,-0.3675,-0.08
7,1.91E-01,-0.46194,-0.16
7,0.25986174,-0.259862,-0.08
8,0.24482808,-0.101411,0
8,0.25986174,-0.259862,-0.08
8,4.62E-01,-0.191342,-0.16
8,0.3675,0,-0.08
sixteen upper girdle facets (approximately triangular),,,
1,0.3675,0,-0.08
1,0.46193977,-0.191342,-0.16
1,5.00E-01,0,-0.16
2,0.3675,0,-0.08
2,0.5,0,-0.16
2,0.46193977,0.191342,-0.16
3,2.60E-01,0.259862,-0.08
3,0.46193977,0.191342,-0.16
3,0.35355339,0.353553,-0.16
4,2.60E-01,0.259862,-0.08
4,0.35355339,0.353553,-0.16
4,0.19134172,0.46194,-0.16
5,0.00E+00,0.3675,-0.08
5,0.19134172,0.46194,-0.16
5,0,0.5,-0.16
6,0.00E+00,0.3675,-0.08
6,0,0.5,-0.16
6,-0.1913417,0.46194,-0.16
7,-2.60E-01,0.259862,-0.08
7,-0.1913417,0.46194,-0.16
7,-0.3535534,0.353553,-0.16
8,-2.60E-01,0.259862,-0.08
8,-0.3535534,0.353553,-0.16
8,-0.4619398,0.191342,-0.16
9,-3.68E-01,0,-0.08
9,-0.4619398,0.191342,-0.16
9,-0.5,0,-0.16
10,-3.68E-01,0,-0.08
10,-0.5,0,-0.16
10,-0.4619398,-0.191342,-0.16
11,-2.60E-01,-0.259862,-0.08
11,-0.4619398,-0.191342,-0.16
11,-0.3535534,-0.353553,-0.16
12,-0.2598617,-0.259862,-0.08
12,-0.3535534,-0.353553,-0.16
12,-0.1913417,-0.46194,-0.16
13,0.00E+00,-0.3675,-0.08
13,-0.1913417,-0.46194,-0.16
13,0,-0.5,-0.16
14,0.00E+00,-0.3675,-0.08
14,0,-0.5,-0.16
14,0.19134172,-0.46194,-0.16
15,2.60E-01,-0.259862,-0.08
15,0.19134172,-0.46194,-0.16
15,0.35355339,-0.353553,-0.16
16,-0.2598617,-0.259862,-0.08
16,0.35355339,-0.353553,-0.16
16,0.46193977,-0.191342,-0.16
sixteen lower side facets (approximately triangular),,,
1,0.46194,-0.191342,-0.16
1,0.5,0,-0.16
1,0.166667,0,-0.446667
2,0.5,0,-0.16
2,0.46194,0.191342,-0.16
2,0.166667,0,-0.446667
3,0.46194,0.191342,-0.16
3,0.353553,0.353553,-0.16
3,0.117851,0.117851,-0.446667
4,0.353553,0.353553,-0.16
4,0.191342,0.46194,-0.16
4,0.117851,0.117851,-0.446667
5,0.191342,0.46194,-0.16
5,0,0.5,-0.16
5,0,0.166667,-0.446667
6,0,0.5,-0.16
6,-0.191342,0.46194,-0.16
6,0,0.166667,-0.446667
7,-0.191342,0.46194,-0.16
7,-0.353553,0.353553,-0.16
7,-0.117851,0.117851,-0.446667
8,-0.353553,0.353553,-0.16
8,-0.46194,0.191342,-0.16
8,-0.117851,0.117851,-0.446667
9,-0.46194,0.191342,-0.16
9,-0.5,0,-0.16
9,-0.166667,0,-0.446667
10,-0.5,0,-0.16
10,-0.46194,-0.191342,-0.16
10,-0.166667,0,-0.446667
11,-0.46194,-0.191342,-0.16
11,-0.353553,-0.353553,-0.16
11,-0.117851,-0.117851,-0.446667
12,-0.353553,-0.353553,-0.16
12,-0.191342,-0.46194,-0.16
12,-0.117851,-0.117851,-0.446667
13,-0.191342,-0.46194,-0.16
13,0,-0.5,-0.16
13,0,-0.166667,-0.446667
14,0,-0.5,-0.16
14,0.191342,-0.46194,-0.16
14,0,-0.166667,-0.446667
15,0.191342,-0.46194,-0.16
15,0.353553,-0.353553,-0.16
15,0.117851,-0.117851,-0.446667
16,0.353553,-0.353553,-0.16
16,0.46194,-0.191342,-0.16
16,0.117851,-0.117851,-0.446667
eight pavilion main facets (approximately quadrilateral),,,
1,0.46193977,0.191342,-0.16
1,0.11785113,0.117851,-0.446667
1,0,0,-0.59
1,0.16666667,0,-0.446667
2,0.19134172,0.46194,-0.16
2,1.02E-17,0.166667,-0.446667
2,0,0,-0.59
2,0.11785113,0.117851,-0.446667
3,-0.1913417,0.46194,-0.16
3,-0.1178511,0.117851,-0.446667
3,0,0,-0.59
3,1.02E-17,0.166667,-0.446667
4,-0.4619398,0.191342,-0.16
4,-0.1666667,2.04E-17,-0.446667
4,0,0,-0.59
4,-0.1178511,0.117851,-0.446667
5,-0.4619398,-0.191342,-0.16
5,-0.1178511,-0.117851,-0.446667
5,0,0,-0.59
5,-0.1666667,2.04E-17,-0.446667
6,-0.1913417,-0.46194,-0.16
6,-3.06E-17,-0.166667,-0.446667
6,0,0,-0.59
6,-0.1178511,-0.117851,-0.446667
7,0.19134172,-0.46194,-0.16
7,0.11785113,-0.117851,-0.446667
7,0,0,-0.59
7,-3.06E-17,-0.166667,-0.446667
8,0.46193977,-0.191342,-0.16
8,0.16666667,0,-0.446667
8,0,0,-0.59
8,0.11785113,-0.117851,-0.446667
